date,cumulative_ios_downloads_canada,cumulative_android_downloads_canada,cumulative_total_downloads_canada,daily_ios_downloads_canada,daily_android_downloads_canada,daily_total_downloads_canada
2020-07-30,189,1909,2098,189,1909,2098
2020-07-31,326519,262575,589094,326330,260666,586996
2020-08-01,630961,386470,1017431,304442,123895,428337
2020-08-02,759283,436716,1195999,128322,50246,178568
2020-08-03,835095,483562,1318657,75812,46846,122658
2020-08-04,915198,533321,1448519,80103,49759,129862
2020-08-05,991188,566183,1557371,75990,32862,108852
2020-08-06,1050450,606189,1656639,59262,40006,99268
2020-08-07,1083421,623766,1707187,32971,17577,50548
2020-08-08,1111438,641699,1753137,28017,17933,45950
2020-08-09,1134273,656261,1790534,22835,14562,37397
2020-08-10,1157652,670518,1828170,23379,14257,37636
2020-08-11,1180279,685600,1865879,22627,15082,37709
2020-08-12,1202590,700276,1902866,22311,14676,36987
2020-08-13,1228471,717199,1945670,25881,16923,42804
2020-08-14,1253134,731277,1984411,24663,14078,38741
2020-08-15,1269716,740355,2010071,16582,9078,25660
2020-08-16,1284816,749159,2033975,15100,8804,23904
2020-08-17,1298271,756616,2054887,13455,7457,20912
2020-08-18,1310215,764226,2074441,11944,7610,19554
2020-08-19,1321066,770826,2091892,10851,6600,17451
2020-08-20,1331006,776422,2107428,9940,5596,15536
2020-08-21,1339418,781161,2120579,8412,4739,13151
2020-08-22,1347107,785278,2132385,7689,4117,11806
2020-08-23,1353791,789191,2142982,6684,3913,10597
2020-08-24,1361236,794167,2155403,7445,4976,12421
2020-08-25,1371556,801673,2173229,10320,7506,17826
2020-08-26,1381193,806912,2188105,9637,5239,14876
2020-08-27,1388372,811232,2199604,7179,4320,11499
2020-08-28,1394679,814634,2209313,6307,3402,9709
2020-08-29,1401235,818470,2219705,6556,3836,10392
2020-08-30,1407591,821831,2229422,6356,3361,9717
2020-08-31,1413532,824906,2238438,5941,3075,9016
2020-09-01,1421039,829276,2250315,7507,4370,11877
2020-09-02,1429892,834504,2264396,8853,5228,14081
2020-09-03,1448553,844382,2292935,18661,9878,28539
2020-09-04,1459526,850592,2310118,10973,6210,17183
2020-09-05,1469674,854907,2324581,10148,4315,14463
2020-09-06,1477336,858924,2336260,7662,4017,11679
2020-09-07,1485484,863122,2348606,8148,4198,12346
2020-09-08,1494902,867944,2362846,9418,4822,14240
2020-09-09,1502591,871414,2374005,7689,3470,11159
2020-09-10,1509573,874736,2384309,6982,3322,10304
2020-09-11,1517269,889467,2406736,7696,14731,22427
2020-09-12,1523394,911260,2434654,6125,21793,27918
2020-09-13,1529736,930820,2460556,6342,19560,25902
2020-09-14,1539182,948976,2488158,9446,18156,27602
2020-09-15,1547403,963747,2511150,8221,14771,22992
2020-09-16,1559161,990506,2549667,11758,26759,38517
2020-09-17,1575066,1003492,2578558,15905,12986,28891
2020-09-18,1608567,1020778,2629345,33501,17286,50787
2020-09-19,1637106,1029853,2666959,28539,9075,37614
2020-09-20,1654838,1035141,2689979,17732,5288,23020
2020-09-21,1671686,1041345,2713031,16848,6204,23052
2020-09-22,1688083,1056357,2744440,16397,15012,31409
2020-09-23,1731411,1090556,2821967,43328,34199,77527
2020-09-24,1775548,1108063,2883611,44137,17507,61644
2020-09-25,1795472,1117061,2912533,19924,8998,28922
2020-09-26,1808291,1122861,2931152,12819,5800,18619
2020-09-27,1819561,1128304,2947865,11270,5443,16713
2020-09-28,1852439,1146044,2998483,32878,17740,50618
2020-09-29,1893212,1168859,3062071,40773,22815,63588
2020-09-30,1930941,1185311,3116252,37729,16452,54181
2020-10-01,1977105,1211682,3188787,46164,26371,72535
2020-10-02,2019890,1233954,3253844,42785,22272,65057
2020-10-03,2039590,1245634,3285224,19700,11680,31380
2020-10-04,2054285,1255849,3310134,14695,10215,24910
2020-10-05,2208542,1408032,3616574,154257,152183,306440
2020-10-06,2390189,1513655,3903844,181647,105623,287270
2020-10-07,2476816,1570983,4047799,86627,57328,143955
2020-10-08,2523900,1611617,4135517,47084,40634,87718
2020-10-09,2574734,1651124,4225858,50834,39507,90341
2020-10-10,2601893,1671297,4273190,27159,20173,47332
2020-10-11,2621248,1694510,4315758,19355,23213,42568
2020-10-12,2640669,1740311,4380980,19421,45801,65222
2020-10-13,2666147,1781389,4447536,25478,41078,66556
2020-10-14,2685717,1810143,4495860,19570,28754,48324
2020-10-15,2714974,1846850,4561824,29257,36707,65964
2020-10-16,2737390,1874503,4611893,22416,27653,50069
2020-10-17,2750871,1895177,4646048,13481,20674,34155
2020-10-18,2761576,1912776,4674352,10705,17599,28304
2020-10-19,2786664,1937403,4724067,25088,24627,49715
2020-10-20,2802983,1956036,4759019,16319,18633,34952
2020-10-21,2814578,1970357,4784935,11595,14321,25916
2020-10-22,2823104,1983674,4806778,8526,13317,21843
2020-10-23,2831701,1995366,4827067,8597,11692,20289
2020-10-24,2839840,2006447,4846287,8139,11081,19220
2020-10-25,2846891,2016705,4863596,7051,10258,17309
2020-10-26,2855102,2029497,4884599,8211,12792,21003
2020-10-27,2865447,2040730,4906177,10345,11233,21578
2020-10-28,2876082,2051419,4927501,10635,10689,21324
2020-10-29,2885064,2060849,4945913,8982,9430,18412
2020-10-30,2894311,2070808,4965119,9247,9959,19206
2020-10-31,2905350,2082180,4987530,11039,11372,22411
2020-11-01,2921073,2094764,5015837,15723,12584,28307
2020-11-02,2933257,2105494,5038751,12184,10730,22914
2020-11-03,2945363,2116086,5061449,12106,10592,22698
2020-11-04,2954570,2124308,5078878,9207,8222,17429
2020-11-05,2962530,2132577,5095107,7960,8269,16229
2020-11-06,2970214,2140201,5110415,7684,7624,15308
2020-11-07,2977552,2147963,5125515,7338,7762,15100
2020-11-08,2986066,2156458,5142524,8514,8495,17009
2020-11-09,2997896,2166383,5164279,11830,9925,21755
2020-11-10,3010490,2175968,5186458,12594,9585,22179
2020-11-11,3019686,2188653,5208339,9196,12685,21881
2020-11-12,3030150,2197730,5227880,10464,9077,19541
2020-11-13,3042251,2207563,5249814,12101,9833,21934
2020-11-14,3052640,2216149,5268789,10389,8586,18975
2020-11-15,3062070,2224583,5286653,9430,8434,17864
2020-11-16,3071421,2232644,5304065,9351,8061,17412
2020-11-17,3082545,2241377,5323922,11124,8733,19857
2020-11-18,3093348,2249072,5342420,10803,7695,18498
2020-11-19,3102644,2256897,5359541,9296,7825,17121
2020-11-20,3122984,2272329,5395313,20340,15432,35772
2020-11-21,3130654,2282886,5413540,7670,10557,18227
2020-11-22,3144167,2293334,5437501,13513,10448,23961
2020-11-23,3159483,2303797,5463280,15316,10463,25779
2020-11-24,3165890,2314219,5480109,6407,10422,16829
2020-11-25,3177807,2322547,5500354,11917,8328,20245
2020-11-26,3186650,2329865,5516515,8843,7318,16161
2020-11-27,3190916,2338359,5529275,4266,8494,12760
2020-11-28,3197743,2345113,5542856,6827,6754,13581
2020-11-29,3204060,2351189,5555249,6317,6076,12393
